code,lang,serie,fichero,url,pdf,txt,titulo,n_caracteres
ITM-SST 1500.3,fr,itm-cl-1100-2000,ITM-SST-1500-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1500-3.pdf,corpus/itm/pdf/ITM-SST-1500-3.pdf,corpus/itm/txt/ITM-SST-1500-3.txt,ITM-SST 1500.3 — Prescriptions de prévention incendie — DEFINITIONS GENERALES — Les définitions générales suivantes sont indiquées,65277
ITM-SST 1500.2,fr,itm-cl-1100-2000,ITM-SST-1500-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1500-2.pdf,corpus/itm/pdf/ITM-SST-1500-2.pdf,corpus/itm/txt/ITM-SST-1500-2.txt,ITM-SST 1500.2 — Prescriptions de prévention incendie — DEFINITIONS GENERALES,73391
ITM-SST 1500.1,fr,itm-cl-1100-2000,ITM-SST-1500-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1500-1.pdf,corpus/itm/pdf/ITM-SST-1500-1.pdf,corpus/itm/txt/ITM-SST-1500-1.txt,ITM-SST 1500.1 — Ambulance de la Ville de Luxembourg. — Prescriptions de sécurité incendie — DEFINITIONS GENERALES,60572
ITM-SST 1501.6,fr,itm-cl-1100-2000,itm-sst-1501-6.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/itm-sst-1501-6.pdf,corpus/itm/pdf/itm-sst-1501-6.pdf,corpus/itm/txt/itm-sst-1501-6.txt,ITM-SST 1501.6 — le Corps grand-ducal d’incendie et de secours. — Version du 19 décembre 2024 — Prescriptions de prévention incendie,193328
ITM-SST 1501.5,fr,itm-cl-1100-2000,ITM-SST-1501-5.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1501-5.pdf,corpus/itm/pdf/ITM-SST-1501-5.pdf,corpus/itm/txt/ITM-SST-1501-5.txt,ITM-SST 1501.5 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments bas,156379
ITM-SST 1501.4,fr,itm-cl-1100-2000,ITM-SST-1501-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1501-4.pdf,corpus/itm/pdf/ITM-SST-1501-4.pdf,corpus/itm/txt/ITM-SST-1501-4.txt,ITM-SST 1501.4 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments bas,156247
ITM-SST 1501.3,fr,itm-cl-1100-2000,ITM-SST-1501-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1501-3.pdf,corpus/itm/pdf/ITM-SST-1501-3.pdf,corpus/itm/txt/ITM-SST-1501-3.txt,ITM-SST 1501.3 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments bas,155314
ITM-SST 1501.2,fr,itm-cl-1100-2000,ITM-SST-1501-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1501-2.pdf,corpus/itm/pdf/ITM-SST-1501-2.pdf,corpus/itm/txt/ITM-SST-1501-2.txt,ITM-SST 1501.2 — ITM-SST 1501.2,56
ITM-SST 1501.1,fr,itm-cl-1100-2000,ITM-SST-1501-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1501-1.pdf,corpus/itm/pdf/ITM-SST-1501-1.pdf,corpus/itm/txt/ITM-SST-1501-1.txt,ITM-SST 1501.1 — Prescriptions de sécurité incendie — DISPOSITIONS GENERALES — Bâtiments bas,135366
ITM-SST 1502.5,fr,itm-cl-1100-2000,itm-sst-1502-5.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/itm-sst-1502-5.pdf,corpus/itm/pdf/itm-sst-1502-5.pdf,corpus/itm/txt/itm-sst-1502-5.txt,ITM-SST 1502.5 — le Corps grand-ducal d’incendie et de secours. — Version du 19 décembre 2024 — Prescriptions de prévention incendie,194630
ITM-SST 1502.4,fr,itm-cl-1100-2000,ITM-SST-1502-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1502-4.pdf,corpus/itm/pdf/ITM-SST-1502-4.pdf,corpus/itm/txt/ITM-SST-1502-4.txt,ITM-SST 1502.4 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments moyens,159574
ITM-SST 1502.3,fr,itm-cl-1100-2000,ITM-SST-1502-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1502-3.pdf,corpus/itm/pdf/ITM-SST-1502-3.pdf,corpus/itm/txt/ITM-SST-1502-3.txt,ITM-SST 1502.3 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments moyens,159855
ITM-SST 1502.2,fr,itm-cl-1100-2000,ITM-SST-1502-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1502-2.pdf,corpus/itm/pdf/ITM-SST-1502-2.pdf,corpus/itm/txt/ITM-SST-1502-2.txt,ITM-SST 1502.2 — ITM-SST 1502.2,57
ITM-SST 1502.1,fr,itm-cl-1100-2000,ITM-SST-1502-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1502-1.pdf,corpus/itm/pdf/ITM-SST-1502-1.pdf,corpus/itm/txt/ITM-SST-1502-1.txt,ITM-SST 1502.1 — Prescriptions de sécurité incendie — DISPOSITIONS GENERALES — Bâtiments moyens,137970
ITM-SST 1503.5,fr,itm-cl-1100-2000,itm-sst-1503-5.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/itm-sst-1503-5.pdf,corpus/itm/pdf/itm-sst-1503-5.pdf,corpus/itm/txt/itm-sst-1503-5.txt,ITM-SST 1503.5 — le Corps grand-ducal d’incendie et de secours. — Version du 19 décembre 2024 — Prescriptions de prévention incendie,196797
ITM-SST 1503.4,fr,itm-cl-1100-2000,ITM-SST-1503-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1503-4.pdf,corpus/itm/pdf/ITM-SST-1503-4.pdf,corpus/itm/txt/ITM-SST-1503-4.txt,ITM-SST 1503.4 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments élevés,166680
ITM-SST 1503.3,fr,itm-cl-1100-2000,ITM-SST-1503-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1503-3.pdf,corpus/itm/pdf/ITM-SST-1503-3.pdf,corpus/itm/txt/ITM-SST-1503-3.txt,ITM-SST 1503.3 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments élevés,209867
ITM-SST 1503.2,fr,itm-cl-1100-2000,ITM-SST-1503-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1503-2.pdf,corpus/itm/pdf/ITM-SST-1503-2.pdf,corpus/itm/txt/ITM-SST-1503-2.txt,ITM-SST 1503.2 — Prescriptions de prévention incendie — DISPOSITIONS GENERALES — Bâtiments élevés,205855
ITM-SST 1503.1,fr,itm-cl-1100-2000,ITM-SST-1503-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1503-1.pdf,corpus/itm/pdf/ITM-SST-1503-1.pdf,corpus/itm/txt/ITM-SST-1503-1.txt,ITM-SST 1503.1 — Ambulance de la Ville de Luxembourg. — Prescriptions de sécurité incendie — DISPOSITIONS GENERALES,150019
ITM-SST 1504.4,fr,itm-cl-1100-2000,itm-sst-1504-4.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/itm-sst-1504-4.pdf,corpus/itm/pdf/itm-sst-1504-4.pdf,corpus/itm/txt/itm-sst-1504-4.txt,ITM-SST 1504.4 — le Corps grand-ducal d’incendie et de secours. — Version du 19 décembre 2024 — Prescriptions de prévention incendie,13941
ITM-SST 1504.3,fr,itm-cl-1100-2000,ITM-SST-1504-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1504-3.pdf,corpus/itm/pdf/ITM-SST-1504-3.pdf,corpus/itm/txt/ITM-SST-1504-3.txt,ITM-SST 1504.3 — Prescriptions de prévention incendie — DISPOSITIONS SPECIFIQUES — Bâtiments administratifs,12736
ITM-SST 1504.2,fr,itm-cl-1100-2000,ITM-SST-1504-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1504-2.pdf,corpus/itm/pdf/ITM-SST-1504-2.pdf,corpus/itm/txt/ITM-SST-1504-2.txt,ITM-SST 1504.2 — Prescriptions de prévention incendie — DISPOSITIONS SPECIFIQUES — Bâtiments administratifs,13430
ITM-SST 1504.1,fr,itm-cl-1100-2000,ITM-SST-1504-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1504-1.pdf,corpus/itm/pdf/ITM-SST-1504-1.pdf,corpus/itm/txt/ITM-SST-1504-1.txt,ITM-SST 1504.1 — Ambulance de la Ville de Luxembourg. — Prescriptions de sécurité incendie — DISPOSITIONS SPECIFIQUES,11415
ITM-SST 1505.3,fr,itm-cl-1100-2000,ITM-SST-1505-3.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1505-3.pdf,corpus/itm/pdf/ITM-SST-1505-3.pdf,corpus/itm/txt/ITM-SST-1505-3.txt,ITM-SST 1505.3 — Prescriptions de prévention incendie — DISPOSITIONS SPECIFIQUES — Salles de restauration,7262
ITM-SST 1505.2,fr,itm-cl-1100-2000,ITM-SST-1505-2.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1505-2.pdf,corpus/itm/pdf/ITM-SST-1505-2.pdf,corpus/itm/txt/ITM-SST-1505-2.txt,ITM-SST 1505.2 — Prescriptions de prévention incendie — DISPOSITIONS SPECIFIQUES — Restaurants recevant plus de 50 personnes,7792
ITM-SST 1505.1,fr,itm-cl-1100-2000,ITM-SST-1505-1.pdf,https://itm.public.lu/dam-assets/fr/securite-sante/conditions-types/itm-cl-1100-2000/ITM-SST-1505-1.pdf,corpus/itm/pdf/ITM-SST-1505-1.pdf,corpus/itm/txt/ITM-SST-1505-1.txt,ITM-SST 1505.1 — Ambulance de la Ville de Luxembourg. — Prescriptions de sécurité incendie — DISPOSITIONS SPECIFIQUES,11813
