building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_0cb1189d-42d5-4ffb-b1ed-73dc90e217f8,6.2383056,49.8662531,1,"1A, Rue de l'Eglise, 9382 Moestroff, Luxembourg",013B00095002282,95/2282,260.83
Building2D.ACT_0cba2f87-da61-4f5e-b8a4-dd11996c9731,6.2229976,49.8761114,1,"5, Cité Hannert dem Schlass, 9353 Bettendorf, Luxembourg",013A00499005237,499/5237,752.9
Building2D.ACT_0cc7925a-3067-45eb-a1af-f136804425e0,6.2154343,49.8756361,3,"2, Rue du Pont, 9353 Bettendorf, Luxembourg",013A00234005859,234/5859,1718.13
Building2D.ACT_0cc8f63e-a266-49fb-a8e1-4bce2e1d5c03,6.1710314,49.8648471,1,"102, Route de Gilsdorf, 9234 Diekirch, Luxembourg",030B00100001109,100/1109,227.57
Building2D.ACT_0ce85fe9-c3d0-4241-88fd-30e1e47afe84,6.1738638,49.8689515,1,"119, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02748007279,2748/7279,660.92
Building2D.ACT_0d30650a-b6b6-4338-ab16-12437ff3f5e7,6.2187657,49.8728043,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_0d54f682-0f67-4149-8ff0-f5d914aefa49,6.2210611,49.87844,2,"13, An der Grouf, 9357 Bettendorf, Luxembourg",013A00412005499,412/5499,473.49
Building2D.ACT_0d9136af-8e91-4d13-a063-4182f9b17e4b,6.221358,49.8774,1,"13, Cité Pierre Strauss, 9357 Bettendorf, Luxembourg",013A00411004777,411/4777,648.63
Building2D.ACT_0da89c3d-a2ec-4dc2-b9eb-532588d0426b,6.1767571,49.86907,1,"161, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02703009286,2703/9286,461.54
Building2D.ACT_0dae6616-3dc1-42c9-877d-b0eb9335ac56,6.1837815,49.8657895,1,"11, Schellecksgaass, 9372 Gilsdorf, Luxembourg",013C00239004724,239/4724,701.22
Building2D.ACT_0dbbdc4f-f1c6-41f8-9b31-3ec7f3a842bb,6.2166414,49.8776814,0,,013A00432005286,432/5286,4289.97
Building2D.ACT_0dd56b42-cb69-4152-bd16-f651c943b8fc,6.1774447,49.8688016,1,"176, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02708007975,2708/7975,456
