building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_15d4f9d7-63d6-41cb-832d-1d0182bf2736,6.1292494,49.6116722,2,"6, Rue de la Poste, 2346 Luxembourg, Luxembourg",075F00194002350,194/2350,359.98
Building2D.ACT_15e1d3b5-0980-4f8b-8c9a-7bffe3e3aab1,6.1301635,49.6128924,1,"1A, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00210001223,210/1223,116.98
Building2D.ACT_1609e54f-39fb-4e2d-9b88-2fcda9c76358,6.1298192,49.6105883,2,"9, Rue Chimay, 1333 Luxembourg, Luxembourg",075F00470000507,470/507,266.48
Building2D.ACT_169bf38f-852d-4f95-ad59-f1c57a957532,6.1215277,49.6147109,1,"16A, Boulevard de la Foire, 1528 Luxembourg, Luxembourg",075F00785001959,785/1959,279.7
Building2D.ACT_17018d3d-b067-483d-813b-6bec7b1ec4e2,6.1313419,49.6149213,0,,075B00001000377,1/377,934.61
Building2D.ACT_185cf71f-bf6e-47ca-ae6e-86012d58e115,6.1215443,49.6145193,1,"53, Boulevard Joseph II, 1840 Luxembourg, Luxembourg",075F00785001524,785/1524,330.16
Building2D.ACT_1861a82e-01fe-4ab1-be7f-36900b2a1c31,6.1305514,49.6134729,0,,075F00209002652,209/2652,1815.43
Building2D.ACT_189745e9-dee1-474c-b44d-70cfaae113f4,6.12707,49.6118969,3,"15, Rue Aldringen, 1118 Luxembourg, Luxembourg",075F00092002028,92/2028,253.31
Building2D.ACT_18ac7c1f-c8a9-403b-89ca-a5708fde3e90,6.1351675,49.608525,1,"1, Rue Munster, 2160 Luxembourg, Luxembourg",075C00114000000,114,38.32
Building2D.ACT_190ad1ee-0741-4d9c-aa35-06c7b0ea0d53,6.1292697,49.6118597,1,"57, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00137000000,137,140.92
Building2D.ACT_19119ff8-12f4-41c8-8ba8-2486fd81c8d2,6.1347483,49.6085575,1,"20, Montée du Grund, 1645 Luxembourg, Luxembourg",075C00287000000,287,75.96
Building2D.ACT_1951d2fc-dd32-4da3-b08a-f7c975d0c0c1,6.1282423,49.6105623,1,"25, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00369002081,369/2081,172.61
Building2D.ACT_196c14f6-0999-4957-93c0-eb99e410fa84,6.1354455,49.6080736,1,"2, Rue St Ulric, 2651 Luxembourg, Luxembourg",075C00282000179,282/179,2608.96
Building2D.ACT_196cf5c5-a6c5-408a-b5f1-e15070c3b8ac,6.1288468,49.61316,1,"20, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00037000000,37,95.08
Building2D.ACT_196cf5c5-a6c5-408a-b5f1-e15070c3b8xx,6.1289172,49.613168,1,"18, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00038000000,38,105.09
Building2D.ACT_196cf5c5-a6c5-408a-b5f1-e15070c3b8yy,6.1288343,49.6133107,1,"9, Rue des Bains, 1212 Luxembourg, Luxembourg",075F00004000695,4/695,108.4
Building2D.ACT_19a3396a-15c0-4c05-8668-4906353710dd,6.12456,49.6126719,2,"9A, Boulevard Prince Henri, 1724 Luxembourg, Luxembourg",075F00759002387,759/2387,699.62
Building2D.ACT_1a2be75f-5d6b-43ff-b617-99397144b2dd,6.125074,49.611442,0,,075F00738002320,738/2320,2203.35
Building2D.ACT_1a3537f1-de0e-49a5-b503-72f217b38707,6.1220714,49.6143057,1,"42, Boulevard Joseph II, 1840 Luxembourg, Luxembourg",075F00785002346,785/2346,1217.57
Building2D.ACT_1b1d23a4-eb5e-41cb-8a0b-04e31a9e6148,6.1272838,49.6129271,2,"19, Rue des Bains, 1212 Luxembourg, Luxembourg",075F00103002738,103/2738,539.64
Building2D.ACT_1b25e618-447e-492f-93c4-75a9385ab4f8,6.1332963,49.6125481,0,,,,
Building2D.ACT_1b2f8bf7-c3e0-407a-9369-d8687c79f4c6,6.1282722,49.6123104,1,"4, Avenue de la Porte-Neuve, 2227 Luxembourg, Luxembourg",075F00015001990,15/1990,67.74
Building2D.ACT_1b3bc11f-796c-4bf0-bc06-811d2a6f33eb,6.1310283,49.6115927,2,"10, Rue Genistre, 1623 Luxembourg, Luxembourg",075F00247002681,247/2681,365.36
Building2D.ACT_1b960e6a-cd9c-452d-952b-04bc70b58130,6.127832,49.6110965,1,"26, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00167001931,167/1931,233.25
Building2D.ACT_1badd958-ebef-4386-8ec1-7432652a0adf,6.1297897,49.6129084,3,"30, Rue des Capucins, 1313 Luxembourg, Luxembourg",075F00210001259,210/1259,172.48
Building2D.ACT_1ca31a63-5253-4dcf-b060-a1b075b1140a,6.1297973,49.6138073,1,"8, Rue Willy Goergen, 1636 Luxembourg, Luxembourg",075F00003001220,3/1220,382.88
Building2D.ACT_1cd6b72b-e4cc-454a-a178-a9d9f2fc8cf3,6.1305573,49.6109893,1,"12, Place Guillaume II, 1648 Luxembourg, Luxembourg",075F00398001060,398/1060,76.05
Building2D.ACT_1d55388f-939a-4905-ac0d-d7dd2ec44be9,6.1343954,49.6089477,1,"4, Montée du Grund, 1645 Luxembourg, Luxembourg",075C00299000000,299,50.66
Building2D.ACT_1d75a9d2-1602-43d4-b9c1-008a18bcc203,6.1218875,49.607651,0,,075F00711001013,711/1013,652.14
Building2D.ACT_1defaaa6-7f3a-465a-8345-ee55939c9efd,6.1340907,49.6152321,1,"3, Rue des Trois Glands, 1629 Luxembourg, Luxembourg",075B00193000521,193/521,492.13
Building2D.ACT_1f1e4de2-5603-4a8e-b5cf-9d6851ab24ce,6.1343915,49.6115325,2,"3, Rue Sigefroi, 2536 Luxembourg, Luxembourg",075F00351002518,351/2518,586.26
Building2D.ACT_1fb0be2d-34a5-4853-badb-1c47de4039eb,6.1291915,49.6118375,1,"59, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00138000000,138,166.75
