building_id,lon,lat,area_m2,tipo,n_addresses,adresse_ejemplo,parcel_capakey,parcel_niscode,nis_total_edificios,nis_pct_pre1946,nis_pct_post1981,nis_pct_calefaccion,nis_viviendas,nis_epeil_medio
1672166,4.3535607,50.8456151,55,,4,"Rue du Marché aux Fromages 28, 1000 Bruxelles",21004A1117/00A000,21004,27440,69.0,9.2,75.6,98852,
1637772,4.3535707,50.8451982,63,,0,,21004A1051/00E000,21004,27440,69.0,9.2,75.6,98852,
1614595,4.3536134,50.8457412,80,,1,"Rue des Eperonniers 37, 1000 Bruxelles",21004A1115/00C000,21004,27440,69.0,9.2,75.6,98852,
1642245,4.3536403,50.8451619,65,,1,"Rue de l'Homme Chrétien 5, 1000 Bruxelles",21004A1050/00Z000,21004,27440,69.0,9.2,75.6,98852,
1635465,4.3536209,50.8449853,93,,2,"Rue Duquesnoy 35, 1000 Bruxelles",21004A1050/00X000,21004,27440,69.0,9.2,75.6,98852,
1645700,4.358458,50.8443527,1087,,5,"Rue Ravenstein 2D, 1000 Bruxelles",21804D0807/00F000,21004,27440,69.0,9.2,75.6,98852,
1651481,4.3587479,50.8446265,5789,,90,"Cantersteen 7, 1000 Bruxelles",21804D0819/00R000,21004,27440,69.0,9.2,75.6,98852,
1665201,4.3575617,50.8443612,745,,9,"Mont des Arts 13, 1000 Bruxelles",21804D0625/00D000,21004,27440,69.0,9.2,75.6,98852,
1786906,4.3602868,50.8450235,7675,,10,"Rue Ravenstein 33, 1000 Bruxelles",21804D0744/00T000,21004,27440,69.0,9.2,75.6,98852,
1644633,4.3577028,50.8447545,2710,,3,"Rue des Sols 4, 1000 Bruxelles",21804D0819/00N000,21004,27440,69.0,9.2,75.6,98852,
1801991,4.3588862,50.8452931,7874,,36,"Rue Ravenstein 36, 1000 Bruxelles",21804D0900/00E002,21004,27440,69.0,9.2,75.6,98852,
1772960,4.3597785,50.8462602,3354,,14,"Rue des Colonies 15, 1000 Bruxelles",21804D1424/00E002,21004,27440,69.0,9.2,75.6,98852,
1780674,4.3582718,50.8464676,1699,,1,"Rue de Loxum 25, 1000 Bruxelles",21804D1339/00L000,21004,27440,69.0,9.2,75.6,98852,
1640117,4.3589828,50.8464852,152,,11,"Rue des Colonies 2, 1000 Bruxelles",21804D1419/00X000,21004,27440,69.0,9.2,75.6,98852,
1645717,4.3591225,50.8465328,45,,1,"Rue des Colonies 6, 1000 Bruxelles",21804D1419/00K002,21004,27440,69.0,9.2,75.6,98852,
1663865,4.3591784,50.8466066,207,,4,"Rue des Colonies 10, 1000 Bruxelles",21804D1419/00M002,21004,27440,69.0,9.2,75.6,98852,
1639031,4.3590362,50.846587,42,,7,"Rue des Paroissiens 9, 1000 Bruxelles",21804D1419/00K002,21004,27440,69.0,9.2,75.6,98852,
1639020,4.3593387,50.8466562,131,,2,"Rue des Colonies 14, 1000 Bruxelles",21804D1419/00D002,21004,27440,69.0,9.2,75.6,98852,
1643481,4.3594756,50.8467299,155,,3,"Rue des Colonies 18, 1000 Bruxelles",21804D1419/00L002,21004,27440,69.0,9.2,75.6,98852,
1643492,4.3593559,50.8468181,568,,2,"Rue des Paroissiens 23, 1000 Bruxelles",21804D1418/00C000,21004,27440,69.0,9.2,75.6,98852,
1780559,4.3597198,50.8470897,1352,,3,"Place Sainte-Gudule 14, 1000 Bruxelles",21804D1435/00P000,21004,27440,69.0,9.2,75.6,98852,
1642432,4.3588113,50.8473423,3876,,5,"Rue de Loxum 6, 1000 Bruxelles",21804D1348/00E000,21004,27440,69.0,9.2,75.6,98852,
1785797,4.3595507,50.8470489,231,,1,"Rue des Paroissiens 25, 1000 Bruxelles",21804D1435/00P000,21004,27440,69.0,9.2,75.6,98852,
1641197,4.3575645,50.8439093,254,,0,,21804D0553/00K000,21004,27440,69.0,9.2,75.6,98852,
