building_id,hauteur_m
ACT_1f7efaa1-57d9-4b5b-87e2-af4ca18af9a8,9.321
ACT_1f7ffb4e-6c27-4cf0-8530-341d215714ae,10.043
ACT_1fe5e86c-6390-4848-baee-d46ef1003571,10.253
ACT_204fe498-f2c9-446f-b18e-05f82167c011,3.764
ACT_20763915-8561-46ba-a862-2977896b112c,10.623
ACT_20b3c658-1d4c-4a73-a9cc-236897c507f5,11.053
ACT_20eacae0-065e-450a-8738-3aede1347750,9.049
ACT_21027594-02e0-4c0d-bf39-894d45c60e90,12.301
ACT_2163856b-be23-400f-b88c-b4491981d7b1,11.437
ACT_216ec0fb-e581-4773-b6b6-69fff71181a1,4.42
ACT_21d82d13-2950-4357-88c1-68c2e5906e23,11.122
ACT_21e43bd2-1088-489a-afd6-d86ca025491a,11.293
ACT_21fd1afa-0a7a-4599-852f-962eefd10ce8,8.825
ACT_2223e5e3-aa5b-4424-b800-4cee572dc237,3.489
ACT_224fb3ef-fcc3-4aa7-b374-232665ec7138,10.866
ACT_226c8b2d-e228-49a9-b34a-914432cc5857,4.666
ACT_229fe4d9-d3d4-4923-88ca-90fe58dc5ce7,2.857
ACT_22bd657a-3998-4ace-9c4a-20950eb7a5ec,17.015
ACT_22bed197-1287-4499-8c2d-07ac93f188d4,9.38
ACT_22c47814-fd92-44e3-b2cf-ac659ae95a74,8.335
ACT_22d25d4b-a239-422c-b705-b6f2790f3126,9.12
ACT_22d56a3f-ce79-4566-80a6-a157b2538432,14.058
ACT_22e3460f-bb37-48f1-b687-8fb022858058,7.762
ACT_234695aa-1d95-42e1-9085-505959579649,3.558
ACT_2360afde-97bb-431d-ba37-0834f37d267c,5.002
ACT_2389ccd4-42cd-4936-bd95-7b4c2d9660c9,10.183
ACT_2390acad-ca35-4c5d-bd49-886130ce2481,10.322
ACT_2401a2b7-c155-44c4-aafb-f75842e728d2,11.538
ACT_2405f469-f7a6-4928-bf0f-2101297bf01d,3.334
ACT_2451c5f9-e9bd-4da5-9efb-a37a925a9270,10.886
ACT_2454e83b-c7ea-4dd8-bd4c-8148465cb3ed,11.272
ACT_245a1244-99ec-4fdf-9b2a-1093bb5e8983,12.785
ACT_2467a2ba-414f-4ee5-8303-728b8236c8a6,9.846
ACT_247b3663-903d-4615-aa84-e7ab9605aa05,9.649
ACT_24de1963-fa29-4ec3-91ac-8cdbf5b1c322,11.483
ACT_24fbe8bf-160c-4ff2-9a5e-14d537f015bf,13.469
ACT_254e0489-f050-4256-9000-52f8b275f5bf,10.335
ACT_2550f101-5301-4489-9ca0-9016be481e20,11.123
ACT_255d463a-3257-4880-94e3-725c017853b8,10.283
ACT_25deac66-b98e-4191-9719-498d35b352a9,9.204
ACT_26107c66-93ca-4d23-bfee-03d9f7cf29a1,9.485
ACT_261a7812-1b96-4620-8906-a974fbc7962c,6.47
ACT_264976a4-7644-4283-a6d5-56d8179fae23,13.061
ACT_264d6487-b7b1-4bcb-a4ef-eae07ca4503e,5.913
ACT_2660e820-bdbe-4bed-bd15-0089894913ff,5.815
ACT_266f3719-6d69-4fdc-a596-350a3528eaae,10.696
ACT_26815f00-7094-43aa-9d5c-f0e6541a4719,9.612
ACT_268e3be4-18bd-4b1e-a480-27f9ad6c8310,13.875
ACT_26c46216-9fd7-49c3-9b71-3b4ee6e547eb,9.137
ACT_26c75908-9ff9-480b-9be8-60a2126cd691,11.088
ACT_26cb5ddb-6abd-492d-be46-82d9c3b25a09,9.47
ACT_26fb26b5-f138-408d-97c2-f8a5998d203f,3.739
ACT_270a4f56-7f8d-41ab-809e-df19c82c6890,10.758
ACT_272c4e17-ff76-4471-a832-47e98ed3ff5e,5.247
ACT_27303aa5-cd42-4493-a0f4-7ed3df9ccfff,12.039
ACT_2737920c-31ad-43fb-b78e-7d215f9433c1,5.077
ACT_273bb161-5580-4158-a2d2-1e0993e24f28,7.794
ACT_27a44df7-cf80-4d9e-9d5f-6c1438653e6e,11.288
ACT_27a9e329-8403-4fbf-8c27-9aa2cf8aaff1,12.011
ACT_27b1d925-75d1-42b1-8d8d-af15a1affa19,10.445
ACT_27c9d4ff-2a8d-4eaf-a14c-0b4d31d05778,11.687
ACT_27ef21e7-3ced-47dc-9666-596b2664e797,9.29
ACT_282e5b26-9873-4171-b305-67c03df9f0f3,5.818
ACT_286bbf2a-3847-4678-ad5c-55c282911252,13.708
ACT_28844e18-0d96-44d8-8c67-915e86c0e44e,9.647
ACT_28953d13-042c-4bdc-b42b-c0df50a2c97e,4.634
ACT_28b19e30-29ee-4d8f-8d25-77ee8128627d,7.424
ACT_28cf7f01-0f19-4dbb-a345-3dfd9f260874,11.029
ACT_28d2eced-4cb1-4884-be2e-395a896aecbf,11.418
ACT_28f21241-7184-4a5d-91ca-ead3d0ca5edb,13.445
ACT_292991d0-1c93-444b-b931-1a19541e757e,4.467
ACT_2981bb73-5368-449a-8798-45eb1aee05f3,11.618
ACT_29b3825e-d5ac-40fd-b1ba-03996f5f40c5,11.255
ACT_2a46685b-1f01-4ec2-9791-7bc57de1db6f,7.768
ACT_2a75b9df-d754-45a6-88ab-22ecb487b40a,7.82
ACT_2ab7cf03-c8e8-41ae-b625-e6ff17a4ef6a,3.352
ACT_2b2e4b4d-0019-418c-8771-6bed0a36b6f3,13.188
ACT_2b57a91e-cba7-469f-8ebd-b1294b874c5e,3.695
ACT_2b5aea82-4bc0-4886-9c6b-4f601eeaacae,5.591
ACT_2b9bfc09-586d-4124-9f74-bc1eec32bc99,9.313
